Date,Item No.,Vegetable,Quantity (kg),Price per kg (₱),Total Sales (₱)
2025-12-17,15,Eggplant,34.0,75,2550.0
2025-12-17,7,Onions,16.0,90,1440.0
2025-12-17,4,Potatoes,49.0,60,2940.0
2025-12-17,13,Bell Pepper,19.0,150,2850.0
2025-12-18,12,Ginger,26.0,180,4680.0
2025-12-18,10,Cabbage,11.0,50,550.0
2025-12-18,12,Ginger,50.0,180,9000.0
2025-12-19,11,Pechay,23.0,55,1265.0
2025-12-19,8,Garlic,20.0,200,4000.0
2025-12-19,3,Lettuce,39.0,65,2535.0
2025-12-19,9,Ampalaya,41.0,120,4920.0
2025-12-19,15,Eggplant,37.0,75,2775.0
2025-12-19,1,Carrots,38.0,70,2660.0
2025-12-20,6,Malunggay,11.0,40,440.0
2025-12-20,8,Garlic,48.0,200,9600.0
2025-12-20,5,Tomatoes,38.0,80,3040.0
2025-12-20,15,Eggplant,8.0,75,600.0
2025-12-21,2,Chili,42.0,220,9240.0
2025-12-21,7,Onions,21.0,90,1890.0
2025-12-21,5,Tomatoes,33.0,80,2640.0
2025-12-21,6,Malunggay,26.0,40,1040.0
2025-12-22,1,Carrots,22.0,70,1540.0
2025-12-22,8,Garlic,12.0,200,2400.0
2025-12-22,8,Garlic,18.0,200,3600.0
2025-12-23,11,Pechay,28.0,55,1540.0
2025-12-23,11,Pechay,12.0,55,660.0
2025-12-23,11,Pechay,40.0,55,2200.0
2025-12-23,13,Bell Pepper,11.0,150,1650.0
2025-12-24,3,Lettuce,21.0,65,1365.0
2025-12-24,7,Onions,32.0,90,2880.0
2025-12-24,5,Tomatoes,20.0,80,1600.0
2025-12-24,9,Ampalaya,26.0,120,3120.0
2025-12-24,2,Chili,44.0,220,9680.0
2025-12-25,15,Eggplant,17.0,75,1275.0
2025-12-25,15,Eggplant,44.0,75,3300.0
2025-12-25,1,Carrots,46.0,70,3220.0
2025-12-25,15,Eggplant,35.0,75,2625.0
2025-12-26,11,Pechay,24.0,55,1320.0
2025-12-26,12,Ginger,47.0,180,8460.0
2025-12-26,7,Onions,46.0,90,4140.0
2025-12-27,2,Chili,39.0,220,8580.0
2025-12-27,8,Garlic,7.0,200,1400.0
2025-12-27,6,Malunggay,33.0,40,1320.0
2025-12-27,13,Bell Pepper,44.0,150,6600.0
2025-12-28,2,Chili,39.0,220,8580.0
2025-12-28,5,Tomatoes,39.0,80,3120.0
2025-12-28,10,Cabbage,15.0,50,750.0
2025-12-28,11,Pechay,18.0,55,990.0
2025-12-28,11,Pechay,33.0,55,1815.0
2025-12-28,13,Bell Pepper,24.0,150,3600.0
2025-12-29,7,Onions,36.0,90,3240.0
2025-12-29,3,Lettuce,47.0,65,3055.0
2025-12-29,11,Pechay,43.0,55,2365.0
2025-12-29,11,Pechay,17.0,55,935.0
2025-12-29,6,Malunggay,48.0,40,1920.0
2025-12-30,1,Carrots,48.0,70,3360.0
2025-12-30,12,Ginger,20.0,180,3600.0
2025-12-30,14,String Beans,46.0,100,4600.0
2025-12-30,10,Cabbage,49.0,50,2450.0
2025-12-30,11,Pechay,21.0,55,1155.0
2025-12-31,7,Onions,21.0,90,1890.0
2025-12-31,4,Potatoes,44.0,60,2640.0
2025-12-31,3,Lettuce,44.0,65,2860.0
2025-12-31,1,Carrots,44.0,70,3080.0
2025-12-31,6,Malunggay,20.0,40,800.0
2025-12-31,9,Ampalaya,43.0,120,5160.0
2026-01-01,9,Ampalaya,33.0,120,3960.0
2026-01-01,2,Chili,19.0,220,4180.0
2026-01-01,7,Onions,49.0,90,4410.0
2026-01-02,2,Chili,41.0,220,9020.0
2026-01-02,4,Potatoes,47.0,60,2820.0
2026-01-02,9,Ampalaya,37.0,120,4440.0
2026-01-02,2,Chili,31.0,220,6820.0
2026-01-03,12,Ginger,46.0,180,8280.0
2026-01-03,11,Pechay,36.0,55,1980.0
2026-01-03,12,Ginger,27.0,180,4860.0
2026-01-03,13,Bell Pepper,19.0,150,2850.0
2026-01-04,1,Carrots,27.0,70,1890.0
2026-01-04,12,Ginger,36.0,180,6480.0
2026-01-04,2,Chili,12.0,220,2640.0
2026-01-04,8,Garlic,20.0,200,4000.0
2026-01-05,1,Carrots,47.0,70,3290.0
2026-01-05,12,Ginger,48.0,180,8640.0
2026-01-05,9,Ampalaya,45.0,120,5400.0
2026-01-05,8,Garlic,35.0,200,7000.0
2026-01-05,12,Ginger,39.0,180,7020.0
2026-01-05,1,Carrots,9.0,70,630.0
2026-01-06,12,Ginger,30.0,180,5400.0
2026-01-06,1,Carrots,15.0,70,1050.0
2026-01-06,13,Bell Pepper,30.0,150,4500.0
2026-01-07,13,Bell Pepper,21.0,150,3150.0
2026-01-07,12,Ginger,12.0,180,2160.0
2026-01-07,8,Garlic,28.0,200,5600.0
2026-01-07,1,Carrots,45.0,70,3150.0
2026-01-08,10,Cabbage,40.0,50,2000.0
2026-01-08,2,Chili,39.0,220,8580.0
2026-01-08,1,Carrots,18.0,70,1260.0
2026-01-08,14,String Beans,32.0,100,3200.0
2026-01-08,3,Lettuce,50.0,65,3250.0
2026-01-08,7,Onions,13.0,90,1170.0
2026-01-09,6,Malunggay,22.0,40,880.0
2026-01-09,11,Pechay,12.0,55,660.0
2026-01-09,15,Eggplant,50.0,75,3750.0
2026-01-10,5,Tomatoes,26.0,80,2080.0
2026-01-10,1,Carrots,5.0,70,350.0
2026-01-10,14,String Beans,21.0,100,2100.0
2026-01-11,13,Bell Pepper,27.0,150,4050.0
2026-01-11,10,Cabbage,7.0,50,350.0
2026-01-11,6,Malunggay,46.0,40,1840.0
2026-01-11,10,Cabbage,42.0,50,2100.0
2026-01-12,12,Ginger,47.0,180,8460.0
2026-01-12,9,Ampalaya,23.0,120,2760.0
2026-01-12,4,Potatoes,18.0,60,1080.0
2026-01-12,9,Ampalaya,39.0,120,4680.0
2026-01-12,10,Cabbage,8.0,50,400.0
2026-01-13,2,Chili,20.0,220,4400.0
2026-01-13,6,Malunggay,35.0,40,1400.0
2026-01-13,11,Pechay,14.0,55,770.0
2026-01-13,6,Malunggay,16.0,40,640.0
2026-01-14,15,Eggplant,34.0,75,2550.0
2026-01-14,4,Potatoes,36.0,60,2160.0
2026-01-14,2,Chili,5.0,220,1100.0
2026-01-15,11,Pechay,42.0,55,2310.0
2026-01-15,4,Potatoes,6.0,60,360.0
2026-01-15,6,Malunggay,29.0,40,1160.0
2026-01-15,1,Carrots,36.0,70,2520.0
2026-01-15,15,Eggplant,23.0,75,1725.0
2026-01-16,11,Pechay,20.0,55,1100.0
2026-01-16,11,Pechay,20.0,55,1100.0
2026-01-16,11,Pechay,26.0,55,1430.0
2026-01-16,11,Pechay,44.0,55,2420.0
2026-01-16,7,Onions,5.0,90,450.0
2026-01-17,14,String Beans,24.0,100,2400.0
2026-01-17,5,Tomatoes,16.0,80,1280.0
2026-01-17,2,Chili,30.0,220,6600.0
2026-01-17,8,Garlic,20.0,200,4000.0
2026-01-17,14,String Beans,30.0,100,3000.0
2026-01-18,12,Ginger,43.0,180,7740.0
2026-01-18,12,Ginger,38.0,180,6840.0
2026-01-18,11,Pechay,23.0,55,1265.0
2026-01-18,1,Carrots,48.0,70,3360.0
2026-01-19,3,Lettuce,29.0,65,1885.0
2026-01-19,5,Tomatoes,15.0,80,1200.0
2026-01-19,10,Cabbage,45.0,50,2250.0
2026-01-20,15,Eggplant,36.0,75,2700.0
2026-01-20,14,String Beans,8.0,100,800.0
2026-01-20,2,Chili,41.0,220,9020.0
2026-01-21,10,Cabbage,38.0,50,1900.0
2026-01-21,6,Malunggay,6.0,40,240.0
2026-01-21,2,Chili,45.0,220,9900.0
2026-01-21,10,Cabbage,39.0,50,1950.0
2026-01-22,3,Lettuce,19.0,65,1235.0
2026-01-22,2,Chili,7.0,220,1540.0
2026-01-22,6,Malunggay,19.0,40,760.0
2026-01-22,3,Lettuce,8.0,65,520.0
2026-01-22,6,Malunggay,5.0,40,200.0
2026-01-22,2,Chili,21.0,220,4620.0
2026-01-23,4,Potatoes,30.0,60,1800.0
2026-01-23,13,Bell Pepper,47.0,150,7050.0
2026-01-23,3,Lettuce,37.0,65,2405.0
2026-01-23,4,Potatoes,10.0,60,600.0
2026-01-23,2,Chili,12.0,220,2640.0
2026-01-23,13,Bell Pepper,25.0,150,3750.0
2026-01-24,8,Garlic,17.0,200,3400.0
2026-01-24,13,Bell Pepper,34.0,150,5100.0
2026-01-24,6,Malunggay,16.0,40,640.0
2026-01-24,10,Cabbage,17.0,50,850.0
2026-01-24,12,Ginger,15.0,180,2700.0
2026-01-25,12,Ginger,44.0,180,7920.0
2026-01-25,9,Ampalaya,40.0,120,4800.0
2026-01-25,7,Onions,22.0,90,1980.0
2026-01-26,2,Chili,22.0,220,4840.0
2026-01-26,6,Malunggay,24.0,40,960.0
2026-01-26,11,Pechay,32.0,55,1760.0
2026-01-26,14,String Beans,44.0,100,4400.0
2026-01-26,11,Pechay,48.0,55,2640.0
2026-01-26,3,Lettuce,48.0,65,3120.0
2026-01-27,14,String Beans,27.0,100,2700.0
2026-01-27,9,Ampalaya,31.0,120,3720.0
2026-01-27,15,Eggplant,44.0,75,3300.0
2026-01-28,10,Cabbage,27.0,50,1350.0
2026-01-28,15,Eggplant,35.0,75,2625.0
2026-01-28,1,Carrots,46.0,70,3220.0
2026-01-28,8,Garlic,50.0,200,10000.0
2026-01-28,1,Carrots,17.0,70,1190.0
2026-01-29,15,Eggplant,38.0,75,2850.0
2026-01-29,15,Eggplant,29.0,75,2175.0
2026-01-29,9,Ampalaya,33.0,120,3960.0
2026-01-29,14,String Beans,31.0,100,3100.0
2026-01-29,2,Chili,35.0,220,7700.0
2026-01-30,15,Eggplant,36.0,75,2700.0
2026-01-30,4,Potatoes,22.0,60,1320.0
2026-01-30,6,Malunggay,15.0,40,600.0
2026-01-30,14,String Beans,36.0,100,3600.0
2026-01-30,1,Carrots,49.0,70,3430.0
2026-01-31,1,Carrots,24.0,70,1680.0
2026-01-31,14,String Beans,38.0,100,3800.0
2026-01-31,1,Carrots,28.0,70,1960.0
2026-02-01,3,Lettuce,34.0,65,2210.0
2026-02-01,1,Carrots,27.0,70,1890.0
2026-02-01,4,Potatoes,14.0,60,840.0
2026-02-01,14,String Beans,19.0,100,1900.0
2026-02-02,3,Lettuce,28.0,65,1820.0
2026-02-02,8,Garlic,36.0,200,7200.0
2026-02-02,4,Potatoes,6.0,60,360.0
2026-02-02,10,Cabbage,29.0,50,1450.0
2026-02-02,12,Ginger,44.0,180,7920.0
2026-02-03,1,Carrots,50.0,70,3500.0
2026-02-03,11,Pechay,28.0,55,1540.0
2026-02-03,9,Ampalaya,6.0,120,720.0
2026-02-03,12,Ginger,13.0,180,2340.0
2026-02-03,13,Bell Pepper,35.0,150,5250.0
2026-02-03,11,Pechay,22.0,55,1210.0
2026-02-04,3,Lettuce,40.0,65,2600.0
2026-02-04,3,Lettuce,10.0,65,650.0
2026-02-04,8,Garlic,47.0,200,9400.0
2026-02-04,14,String Beans,43.0,100,4300.0
2026-02-05,11,Pechay,42.0,55,2310.0
2026-02-05,10,Cabbage,46.0,50,2300.0
2026-02-05,12,Ginger,43.0,180,7740.0
2026-02-05,11,Pechay,41.0,55,2255.0
2026-02-05,6,Malunggay,43.0,40,1720.0
2026-02-05,6,Malunggay,9.0,40,360.0
2026-02-06,12,Ginger,49.0,180,8820.0
2026-02-06,10,Cabbage,25.0,50,1250.0
2026-02-06,1,Carrots,24.0,70,1680.0
2026-02-06,1,Carrots,43.0,70,3010.0
2026-02-06,3,Lettuce,13.0,65,845.0
2026-02-07,1,Carrots,12.0,70,840.0
2026-02-07,2,Chili,36.0,220,7920.0
2026-02-07,12,Ginger,42.0,180,7560.0
2026-02-07,14,String Beans,44.0,100,4400.0
2026-02-07,2,Chili,45.0,220,9900.0
2026-02-07,15,Eggplant,9.0,75,675.0
2026-02-08,15,Eggplant,27.0,75,2025.0
2026-02-08,12,Ginger,42.0,180,7560.0
2026-02-08,10,Cabbage,12.0,50,600.0
2026-02-08,10,Cabbage,6.0,50,300.0
2026-02-09,3,Lettuce,39.0,65,2535.0
2026-02-09,8,Garlic,45.0,200,9000.0
2026-02-09,3,Lettuce,44.0,65,2860.0
2026-02-09,10,Cabbage,33.0,50,1650.0
2026-02-09,6,Malunggay,16.0,40,640.0
2026-02-09,2,Chili,7.0,220,1540.0
2026-02-10,12,Ginger,35.0,180,6300.0
2026-02-10,9,Ampalaya,29.0,120,3480.0
2026-02-10,5,Tomatoes,35.0,80,2800.0
2026-02-10,6,Malunggay,7.0,40,280.0
2026-02-10,4,Potatoes,40.0,60,2400.0
2026-02-11,6,Malunggay,42.0,40,1680.0
2026-02-11,11,Pechay,6.0,55,330.0
2026-02-11,15,Eggplant,16.0,75,1200.0
2026-02-11,6,Malunggay,15.0,40,600.0
2026-02-11,11,Pechay,25.0,55,1375.0
2026-02-11,12,Ginger,33.0,180,5940.0
2026-02-12,14,String Beans,8.0,100,800.0
2026-02-12,1,Carrots,37.0,70,2590.0
2026-02-12,13,Bell Pepper,31.0,150,4650.0
2026-02-13,5,Tomatoes,9.0,80,720.0
2026-02-13,10,Cabbage,6.0,50,300.0
2026-02-13,1,Carrots,13.0,70,910.0
2026-02-13,12,Ginger,44.0,180,7920.0
2026-02-14,10,Cabbage,38.0,50,1900.0
2026-02-14,1,Carrots,45.0,70,3150.0
2026-02-14,9,Ampalaya,32.0,120,3840.0
2026-02-15,14,String Beans,15.0,100,1500.0
2026-02-15,4,Potatoes,35.0,60,2100.0
2026-02-15,10,Cabbage,34.0,50,1700.0
2026-02-15,3,Lettuce,32.0,65,2080.0
2026-02-15,7,Onions,20.0,90,1800.0
2026-02-16,9,Ampalaya,32.0,120,3840.0
2026-02-16,13,Bell Pepper,49.0,150,7350.0
2026-02-16,3,Lettuce,28.0,65,1820.0
2026-02-16,13,Bell Pepper,37.0,150,5550.0
2026-02-16,7,Onions,41.0,90,3690.0
2026-02-16,3,Lettuce,29.0,65,1885.0
2026-02-17,8,Garlic,35.0,200,7000.0
2026-02-17,3,Lettuce,48.0,65,3120.0
2026-02-17,3,Lettuce,49.0,65,3185.0
2026-02-18,13,Bell Pepper,43.0,150,6450.0
2026-02-18,13,Bell Pepper,18.0,150,2700.0
2026-02-18,11,Pechay,48.0,55,2640.0
2026-02-18,6,Malunggay,44.0,40,1760.0
2026-02-19,9,Ampalaya,23.0,120,2760.0
2026-02-19,15,Eggplant,32.0,75,2400.0
2026-02-19,12,Ginger,18.0,180,3240.0
2026-02-19,4,Potatoes,6.0,60,360.0
2026-02-19,10,Cabbage,42.0,50,2100.0
2026-02-20,8,Garlic,46.0,200,9200.0
2026-02-20,12,Ginger,45.0,180,8100.0
2026-02-20,6,Malunggay,9.0,40,360.0
2026-02-21,13,Bell Pepper,23.0,150,3450.0
2026-02-21,9,Ampalaya,13.0,120,1560.0
2026-02-21,6,Malunggay,24.0,40,960.0
2026-02-21,11,Pechay,10.0,55,550.0
2026-02-22,5,Tomatoes,10.0,80,800.0
2026-02-22,2,Chili,13.0,220,2860.0
2026-02-22,11,Pechay,20.0,55,1100.0
2026-02-22,8,Garlic,21.0,200,4200.0
2026-02-22,10,Cabbage,14.0,50,700.0
2026-02-22,13,Bell Pepper,20.0,150,3000.0
2026-02-23,1,Carrots,36.0,70,2520.0
2026-02-23,1,Carrots,7.0,70,490.0
2026-02-23,3,Lettuce,43.0,65,2795.0
2026-02-23,11,Pechay,35.0,55,1925.0
2026-02-23,2,Chili,8.0,220,1760.0
2026-02-24,4,Potatoes,43.0,60,2580.0
2026-02-24,15,Eggplant,42.0,75,3150.0
2026-02-24,8,Garlic,5.0,200,1000.0
2026-02-25,3,Lettuce,25.0,65,1625.0
2026-02-25,9,Ampalaya,15.0,120,1800.0
2026-02-25,7,Onions,30.0,90,2700.0
2026-02-26,4,Potatoes,11.0,60,660.0
2026-02-26,11,Pechay,11.0,55,605.0
2026-02-26,1,Carrots,11.0,70,770.0
2026-02-26,3,Lettuce,37.0,65,2405.0
2026-02-27,3,Lettuce,6.0,65,390.0
2026-02-27,9,Ampalaya,10.0,120,1200.0
2026-02-27,2,Chili,16.0,220,3520.0
2026-02-27,9,Ampalaya,47.0,120,5640.0
2026-02-28,14,String Beans,6.0,100,600.0
2026-02-28,1,Carrots,45.0,70,3150.0
2026-02-28,11,Pechay,13.0,55,715.0
2026-02-28,14,String Beans,11.0,100,1100.0
2026-02-28,12,Ginger,39.0,180,7020.0
2026-02-28,14,String Beans,46.0,100,4600.0
